wiki_db	platform	n_retained	n_registered	n_activated	prop_activated	prop_retained
arwiki	desktop	121.58333333333333	4015.25	855.8333333333334	0.21615083413496008	0.1456822262298281
arwiki	mobile	157.41666666666666	5446.666666666667	1546.5	0.2847509193024044	0.10164913206305869
cswiki	desktop	74.25	1114.1666666666667	413.5	0.37114210792631436	0.17736121824750004
cswiki	mobile	16.583333333333332	375.8333333333333	149.91666666666666	0.39949658042389297	0.11088866314953616
dawiki	desktop	20.583333333333332	499.5833333333333	182.83333333333334	0.39465805221835515	0.10924032150309444
dawiki	mobile	4.666666666666667	125.66666666666667	56.0	0.44139232744237694	0.08063618675838165
euwiki	desktop	16.0	146.58333333333334	44.333333333333336	0.29264297474826073	0.29650758983001174
euwiki	mobile	3.4166666666666665	29.25	8.5	0.42817415043278223	0.2435249709639953
fawiki	desktop	155.75	2347.5833333333335	881.8333333333334	0.37625922319842303	0.17621977360962293
fawiki	mobile	177.25	3067.5	1380.4166666666667	0.44987922014235887	0.12821155950950885
frwiki	desktop	622.5833333333334	10758.0	4251.0	0.39533120330126925	0.1476178573290482
frwiki	mobile	119.75	4568.75	1527.5	0.334190308385999	0.07772651182825462
huwiki	desktop	47.25	651.3333333333334	280.25	0.42906091694573617	0.16772439845504963
huwiki	mobile	17.083333333333332	347.0	155.58333333333334	0.449773897944465	0.11141445499690021
hywiki	desktop	32.25	197.41666666666666	85.16666666666667	0.4252726140474814	0.3736277778783858
hywiki	mobile	3.8333333333333335	76.5	23.75	0.3162753698274207	0.15168314457636708
idwiki	desktop	72.91666666666667	2749.75	622.25	0.2290239322046388	0.1175103336376727
idwiki	mobile	68.58333333333333	2878.6666666666665	813.5833333333334	0.28392413807172545	0.0834084267330929
itwiki	desktop	179.41666666666666	3287.25	1009.25	0.31013289583130416	0.17821270491092278
itwiki	mobile	121.91666666666667	2815.5	1194.4166666666667	0.42431396076702255	0.10256817500548276
kowiki	desktop	72.33333333333333	1483.6666666666667	466.0833333333333	0.3248866384323707	0.15545313927986767
kowiki	mobile	34.166666666666664	565.1666666666666	180.33333333333334	0.32523741074585244	0.17881424288351
plwiki	desktop	115.25	1836.5833333333333	672.25	0.3666722533353868	0.17016666168861305
plwiki	mobile	33.666666666666664	889.4166666666666	359.9166666666667	0.40600948349062627	0.09317280951256486
ptwiki	desktop	175.08333333333334	5199.583333333333	1359.9166666666667	0.26221305566786796	0.1286079687465809
ptwiki	mobile	74.66666666666667	3107.8333333333335	977.8333333333334	0.3155559409463057	0.07609382342293225
svwiki	desktop	51.666666666666664	1005.5833333333334	417.5833333333333	0.41615557459402064	0.12392406421996315
svwiki	mobile	13.25	500.5833333333333	215.33333333333334	0.43230799478720067	0.06154443584339814
ukwiki	desktop	93.16666666666667	1068.3333333333333	439.0	0.40889018373510405	0.2105212402369744
ukwiki	mobile	21.75	528.25	199.91666666666666	0.3764859222187302	0.10543065748084528
viwiki	desktop	63.75	3021.3333333333335	513.6666666666666	0.17553801967042093	0.12456437702620947
viwiki	mobile	30.25	1424.5833333333333	270.5833333333333	0.190016231645734	0.11147434698794108
